resume_id,address,career_objective,skills,educational_institution_name,degree_names,passing_years,educational_results,result_types,major_field_of_studies,professional_company_names,company_urls,start_dates,end_dates,related_skils_in_job,positions,locations,extra_curricular_activity_types,extra_curricular_organization_names,extra_curricular_organization_links,role_positions,languages,proficiency_levels,certification_providers,certification_skills,online_links,issue_dates,expiry_dates,resume_text
181,,,"['Data Analysis', 'Data Science', 'Data Visualization', 'Machine Learning', 'Artificial Intelligence', 'Decision Tree', 'Clustering', 'Python', 'SQL', 'Microsoft Excel']",['Silnivesh Institute and College of Technology'],['B.E'],['2020'],['N/A'],['N/A'],['IT and ECE'],['SiT'],['N/A'],['Jul 2019'],['Oct 2020'],"[['Research', 'Customer Satisfaction', 'Relationship Management']]",['Student Research Assistant'],['N/A'],['Achievements'],['N/A'],['N/A'],['Data science and analytics'],,,,,,,,"nan nan ['Data Analysis', 'Data Science', 'Data Visualization', 'Machine Learning', 'Artificial Intelligence', 'Decision Tree', 'Clustering', 'Python', 'SQL', 'Microsoft Excel'] ['Silnivesh Institute and College of Technology'] ['B.E'] ['2020'] ['N/A'] ['N/A'] ['IT and ECE'] ['SiT'] ['N/A'] ['Jul 2019'] ['Oct 2020'] [['Research', 'Customer Satisfaction', 'Relationship Management']] ['Student Research Assistant'] ['N/A'] ['Achievements'] ['N/A'] ['N/A'] ['Data science and analytics'] nan nan nan nan nan nan nan"
182,,,"['Data Analyst', 'Data Mining', 'Data Visualization', 'Machine Learning', 'Linear Regression', 'Statistical Modeling', 'Predictive Modeling', 'SQL Server', 'Oracle', 'Python']",['Garodia Institute of Technosciences'],['B.Tech'],['2020'],['N/A'],[None],['Civil'],['DICTIS'],[None],['Jan 2020'],['Apr 2020'],[['decision making']],['Intern Trainee'],['N/A'],"['Data Preprocessing', 'Data Visualization']","['N/A', 'N/A']","[None, None]","['with Python', 'with Power BI']",,,,,,,,"nan nan ['Data Analyst', 'Data Mining', 'Data Visualization', 'Machine Learning', 'Linear Regression', 'Statistical Modeling', 'Predictive Modeling', 'SQL Server', 'Oracle', 'Python'] ['Garodia Institute of Technosciences'] ['B.Tech'] ['2020'] ['N/A'] [None] ['Civil'] ['DICTIS'] [None] ['Jan 2020'] ['Apr 2020'] [['decision making']] ['Intern Trainee'] ['N/A'] ['Data Preprocessing', 'Data Visualization'] ['N/A', 'N/A'] [None, None] ['with Python', 'with Power BI'] nan nan nan nan nan nan nan"
183,,"A highly experienced skilled graduate with Analytics degree with a very good experience in SAS, Web scraping, SQL, Predictive modelling and data visualization. Excellent ability in identifying data requirements for analysis, data cleaning, munging and model building; Ensures the organization uses it effectively to reach profit and growth objectives. Comfortable with data handling, modeling, and coding, and have an appreciation of what makes sense from a business standpoint. More than six years of experience working as a researcher, data analyst, and environmental science and Technology Instructor. Experience in SQL, data warehousing, maintaining, securing and stabilizing data layers and testing to identify data and product defects introduced in the system. Customer segmentation, product positioning and mapping and conjoint analysis Modelling: Design and implement statistical / predictive models and cutting edge algorithms utilizing diverse sources of data to predict Diversified experience with Engineering, Manufacturing, Retailing, Higher Education and IT /Data related companies Fascinated by learning cutting edge technologies, such as; Data Mining and Machine Learning Handled a team of 4 during my 3 years of Tech experience and managed more than 200 students and effectively evaluated the performance of each student and utilize assessment methods to judge overall progress during my teaching experience.","['ASP.NET 4.5', 'academic', 'Clustering', 'consulting', 'curriculum development', 'customer satisfaction', 'data analysis', 'data mining', 'data warehouse', 'Databases', 'database', 'database design', 'database management', 'data warehousing', 'environmental protection', 'Environmental Science', 'GIS', 'HTML', 'instructor', 'Lecturer', 'legal', 'machine learning', 'managing', 'materials', 'meetings', 'C#', 'Microsoft SQL', 'modeling', 'Natural', 'Oracle', 'process development and engineering', 'processes', 'progress', 'Python', 'quality', 'researching', 'research', 'SAS', 'shipping', 'SPSS', 'SQL', 'Statistics', 'Tableau', 'teaching', 'technical support', 'workshops']","['University of New Hampshire', 'UNESCO-IHE', 'Debub University']","['Master of Science', 'Master of Science', 'Bachelor of Science']","['2017', '2010', '2004']","['4.0', None, None]","['GPA', None, None]","['Analytics', 'Environmental Science and Technology', 'Resource Management']","['Company Name', 'Company Name', 'Company Name']","[None, None, None]","['01/2013', '01/2007', '01/2004']","['01/2016', '01/2012', '01/2006']","[['SQL', 'JMP'], ['SQL', 'SPSS'], None]","['Engineering and Quality Technician', 'Lecturer in Environmental Science and Technology', 'Assistant Lecturer in Natural Resource Management']","['City, State', 'N/A', 'N/A']",,,,,,,,,,,,"nan A highly experienced skilled graduate with Analytics degree with a very good experience in SAS, Web scraping, SQL, Predictive modelling and data visualization. Excellent ability in identifying data requirements for analysis, data cleaning, munging and model building; Ensures the organization uses it effectively to reach profit and growth objectives. Comfortable with data handling, modeling, and coding, and have an appreciation of what makes sense from a business standpoint. More than six years of experience working as a researcher, data analyst, and environmental science and Technology Instructor. Experience in SQL, data warehousing, maintaining, securing and stabilizing data layers and testing to identify data and product defects introduced in the system. Customer segmentation, product positioning and mapping and conjoint analysis Modelling: Design and implement statistical / predictive models and cutting edge algorithms utilizing diverse sources of data to predict Diversified experience with Engineering, Manufacturing, Retailing, Higher Education and IT /Data related companies Fascinated by learning cutting edge technologies, such as; Data Mining and Machine Learning Handled a team of 4 during my 3 years of Tech experience and managed more than 200 students and effectively evaluated the performance of each student and utilize assessment methods to judge overall progress during my teaching experience. ['ASP.NET 4.5', 'academic', 'Clustering', 'consulting', 'curriculum development', 'customer satisfaction', 'data analysis', 'data mining', 'data warehouse', 'Databases', 'database', 'database design', 'database management', 'data warehousing', 'environmental protection', 'Environmental Science', 'GIS', 'HTML', 'instructor', 'Lecturer', 'legal', 'machine learning', 'managing', 'materials', 'meetings', 'C#', 'Microsoft SQL', 'modeling', 'Natural', 'Oracle', 'process development and engineering', 'processes', 'progress', 'Python', 'quality', 'researching', 'research', 'SAS', 'shipping', 'SPSS', 'SQL', 'Statistics', 'Tableau', 'teaching', 'technical support', 'workshops'] ['University of New Hampshire', 'UNESCO-IHE', 'Debub University'] ['Master of Science', 'Master of Science', 'Bachelor of Science'] ['2017', '2010', '2004'] ['4.0', None, None] ['GPA', None, None] ['Analytics', 'Environmental Science and Technology', 'Resource Management'] ['Company Name', 'Company Name', 'Company Name'] [None, None, None] ['01/2013', '01/2007', '01/2004'] ['01/2016', '01/2012', '01/2006'] [['SQL', 'JMP'], ['SQL', 'SPSS'], None] ['Engineering and Quality Technician', 'Lecturer in Environmental Science and Technology', 'Assistant Lecturer in Natural Resource Management'] ['City, State', 'N/A', 'N/A'] nan nan nan nan nan nan nan nan nan nan nan"
184,,"I am a Master of Data Science graduate looking to work as a fulltime employee, seeking an entry level role in data science domain. I can offer a strong programming skills and good academic results together with a sound knowledge of implementing Machine learning techniques. Also, I am keen to learn new skill sets that the role demands. I am a highly analytical individual with interpersonal and technical skills, a desire to learn and determined attitude to succeed.","['Software Development', 'Client Management', 'Technical Architecture', 'Data Visualization', 'Data Science', 'Python', 'Statistics', 'Machine Learning', 'Learning Algorithm', 'Heuristics']","['AIT, Gurukulnagar', 'WSM University, Ahmedabad']","['B.Tech(Computers)', 'Masters (Data Science)']","['2018', '2020']","['N/A', 'N/A']","['N/A', 'N/A']","['Computers', 'Data Science']",,,,,,,,['N/A'],['N/A'],[None],['Data Management on large scale'],,,,,,,,"nan I am a Master of Data Science graduate looking to work as a fulltime employee, seeking an entry level role in data science domain. I can offer a strong programming skills and good academic results together with a sound knowledge of implementing Machine learning techniques. Also, I am keen to learn new skill sets that the role demands. I am a highly analytical individual with interpersonal and technical skills, a desire to learn and determined attitude to succeed. ['Software Development', 'Client Management', 'Technical Architecture', 'Data Visualization', 'Data Science', 'Python', 'Statistics', 'Machine Learning', 'Learning Algorithm', 'Heuristics'] ['AIT, Gurukulnagar', 'WSM University, Ahmedabad'] ['B.Tech(Computers)', 'Masters (Data Science)'] ['2018', '2020'] ['N/A', 'N/A'] ['N/A', 'N/A'] ['Computers', 'Data Science'] nan nan nan nan nan nan nan ['N/A'] ['N/A'] [None] ['Data Management on large scale'] nan nan nan nan nan nan nan"
185,,"Passionate, motivated and highly conjugated towards a building mentality. Perfecting for a better code is always my ideology.","['Machine Learning', 'Data Structures', 'Data Mining', 'Data Modeling', 'Python', 'Java Programming', 'Algorithms']","['Chadrasekhar University, Mangalore']",['B.Sc'],['2018'],[None],[None],['Statistics'],"['Kinsgley Co.', 'CIS IT Services']","[None, None]","['Jul 2019', 'Jun 2018']","['Ongoing', 'May 2019']","[['Machine Learning', 'Data Modeling'], ['Data Structures', 'Data Mining']]","['Automation Engineer', 'Data Engineer']","['N/A', 'N/A']",['Artificial Intelligence and Robotics'],['N/A'],[None],['N/A'],,,,,,,,"nan Passionate, motivated and highly conjugated towards a building mentality. Perfecting for a better code is always my ideology. ['Machine Learning', 'Data Structures', 'Data Mining', 'Data Modeling', 'Python', 'Java Programming', 'Algorithms'] ['Chadrasekhar University, Mangalore'] ['B.Sc'] ['2018'] [None] [None] ['Statistics'] ['Kinsgley Co.', 'CIS IT Services'] [None, None] ['Jul 2019', 'Jun 2018'] ['Ongoing', 'May 2019'] [['Machine Learning', 'Data Modeling'], ['Data Structures', 'Data Mining']] ['Automation Engineer', 'Data Engineer'] ['N/A', 'N/A'] ['Artificial Intelligence and Robotics'] ['N/A'] [None] ['N/A'] nan nan nan nan nan nan nan"
186,,"Experienced software professional looking for data science and machine learning roles. Masters in machine learning. Good Knowledge of Software Development processes and Object-oriented programming. Sound Knowledge of python, scikit learn and keras.","['Python', 'Scikit Learn', 'Keras', 'Tensorflow', 'Object Oriented Programming', 'Machine Learning', 'Software Engineering', 'Application Development']","['Jodhpur University', 'IIIT Delhi']","['B.Tech', 'M.Tech']","['2018', '2021']","['N/A', 'N/A']","['N/A', 'N/A']","['Instrumentation', 'Machine Learning']",['CISCO'],['N/A'],['OCT 2018'],['May 2019'],"[['Async Functions', 'ML Applications', 'Databases']]",['Software Developer and Analyst Trainee'],['N/A'],,,,,,,,,,,,"nan Experienced software professional looking for data science and machine learning roles. Masters in machine learning. Good Knowledge of Software Development processes and Object-oriented programming. Sound Knowledge of python, scikit learn and keras. ['Python', 'Scikit Learn', 'Keras', 'Tensorflow', 'Object Oriented Programming', 'Machine Learning', 'Software Engineering', 'Application Development'] ['Jodhpur University', 'IIIT Delhi'] ['B.Tech', 'M.Tech'] ['2018', '2021'] ['N/A', 'N/A'] ['N/A', 'N/A'] ['Instrumentation', 'Machine Learning'] ['CISCO'] ['N/A'] ['OCT 2018'] ['May 2019'] [['Async Functions', 'ML Applications', 'Databases']] ['Software Developer and Analyst Trainee'] ['N/A'] nan nan nan nan nan nan nan nan nan nan nan"
187,,"An avid data analyst looking to step into the world of machine learning and data sciences. I have experience related to Data Mining, Data Visualization, Text Analytics, Data Collection and would currently like to expand my horizon and work on Machine Learning projects.","['Data Analyst', 'Data Mining', 'Data Visualization', 'Text Analytics', 'Data Collection', 'Data Cleaning', 'Business Analysis', 'Python', 'SQL', 'Google Bigquery', 'Tableau', 'Kibana', 'MS Excel/ MS Office', 'Linux', 'Elastic Search', 'Machine Learning']",['SP Jain University'],['BCA'],['2019'],['N/A'],['N/A'],['N/A'],['Polymon'],[None],['Jun 2020'],['Ongoing'],"[['Data Analyst', 'Blockchain', 'Data Collection', 'Data Visualization']]",['Blockchain Analyst'],['N/A'],,,,,,,,,,,,"nan An avid data analyst looking to step into the world of machine learning and data sciences. I have experience related to Data Mining, Data Visualization, Text Analytics, Data Collection and would currently like to expand my horizon and work on Machine Learning projects. ['Data Analyst', 'Data Mining', 'Data Visualization', 'Text Analytics', 'Data Collection', 'Data Cleaning', 'Business Analysis', 'Python', 'SQL', 'Google Bigquery', 'Tableau', 'Kibana', 'MS Excel/ MS Office', 'Linux', 'Elastic Search', 'Machine Learning'] ['SP Jain University'] ['BCA'] ['2019'] ['N/A'] ['N/A'] ['N/A'] ['Polymon'] [None] ['Jun 2020'] ['Ongoing'] [['Data Analyst', 'Blockchain', 'Data Collection', 'Data Visualization']] ['Blockchain Analyst'] ['N/A'] nan nan nan nan nan nan nan nan nan nan nan"
188,,,"['accounting', 'Apple computers', 'asset management', 'automation', 'basic', 'blueprints', 'budgets', 'budget', 'C', 'CA', 'hardware', 'concept', 'contracts', 'client', 'database', 'DC', 'delivery', 'design and construction', 'directing', 'Electrical systems', 'electronics', 'equipment installation', 'filling', 'Fire protection', 'Food safety', 'Hammer', 'HVAC', 'instruction', 'inventory management', 'inventory control', 'Labor relations', 'layout', 'logic', 'Logistics', 'machinery', 'maintenance schedules', 'manufacturing processes', 'materials', 'Mechanical', 'Microsoft Access', '2000', 'Microsoft NT server', 'Microsoft Windows NT Server', 'microwave', 'NEC', 'network', 'networks', 'Novell', 'Personnel', 'PLC programming', 'PLC', 'plumbing', 'Power distribution', 'process control', 'process engineering', 'Programming', 'quality', 'quality control', 'radio', 'Record keeping', 'repairs', 'repairing', 'Safety', 'safety codes', 'SCADA', 'Siemens PLC', 'staffing', 'supervising', 'Supervision', 'surveys', 'technical support', 'phones', 'transmission', 'troubleshooting', 'UHF', 'utilities', 'validation', 'VHF', 'View', 'Water quality', 'Wonderware', 'written']","['N/A', 'Yuba Community College', 'Butte College', 'Elk Creek High School']","['Certificate of Completion', 'Select One', 'NEEC Building Operator Certification', 'High School Diploma']","['2015', '2004', '2003', '1985']","['N/A', 'N/A', 'N/A', 'N/A']","['N/A', 'N/A', 'N/A', 'N/A']","['AIB - HACCP Online Course - Haccp/Food Safety', 'Business Management', 'Basic Electronics, Drafting', 'N/A']","['Company Name', 'Company Name', 'Company Name', 'Company Name', 'Company Name', 'Company Name', 'Company Name', 'Company Name']","[None, None, None, None, None, None, None, None]","['02/2013', '05/2008', '05/2005', '04/2004', '01/1996', '04/1995', '08/1991', '02/1987']","['08/2015', '02/2013', '05/2008', '05/2005', '04/2004', '12/1995', '04/1995', '04/1991']","[['PLC', 'SCADA', 'troubleshooting', 'mechanical repairs', 'design'], ['project management', 'PLC', 'troubleshooting', 'VFD', 'controls'], ['project management', 'design', 'budgeting', 'quality control'], ['management', 'construction', 'troubleshooting', 'automation'], ['plant maintenance', 'engineering', 'compliance', 'PLC', 'programming'], ['maintenance', 'PLC', 'troubleshooting', 'logic changes'], ['troubleshooting', 'maintenance', 'PLC', 'CMMS'], ['inventory control', 'troubleshooting', 'microwave communications']]","['Engineering Services Manager', 'Electrical Superintendent', 'Project Manager', 'Facility Supervisor', 'Maintenance Manager/Safety & Environmental Manager', 'Maintenance Technician', 'Electrician', 'Microwave Communications Technician']","['City , State', 'City , State', 'City , State', 'City , State', 'City , State', 'City , State', 'City , State', 'City , State']",,,,,,,,,,,,"nan nan ['accounting', 'Apple computers', 'asset management', 'automation', 'basic', 'blueprints', 'budgets', 'budget', 'C', 'CA', 'hardware', 'concept', 'contracts', 'client', 'database', 'DC', 'delivery', 'design and construction', 'directing', 'Electrical systems', 'electronics', 'equipment installation', 'filling', 'Fire protection', 'Food safety', 'Hammer', 'HVAC', 'instruction', 'inventory management', 'inventory control', 'Labor relations', 'layout', 'logic', 'Logistics', 'machinery', 'maintenance schedules', 'manufacturing processes', 'materials', 'Mechanical', 'Microsoft Access', '2000', 'Microsoft NT server', 'Microsoft Windows NT Server', 'microwave', 'NEC', 'network', 'networks', 'Novell', 'Personnel', 'PLC programming', 'PLC', 'plumbing', 'Power distribution', 'process control', 'process engineering', 'Programming', 'quality', 'quality control', 'radio', 'Record keeping', 'repairs', 'repairing', 'Safety', 'safety codes', 'SCADA', 'Siemens PLC', 'staffing', 'supervising', 'Supervision', 'surveys', 'technical support', 'phones', 'transmission', 'troubleshooting', 'UHF', 'utilities', 'validation', 'VHF', 'View', 'Water quality', 'Wonderware', 'written'] ['N/A', 'Yuba Community College', 'Butte College', 'Elk Creek High School'] ['Certificate of Completion', 'Select One', 'NEEC Building Operator Certification', 'High School Diploma'] ['2015', '2004', '2003', '1985'] ['N/A', 'N/A', 'N/A', 'N/A'] ['N/A', 'N/A', 'N/A', 'N/A'] ['AIB - HACCP Online Course - Haccp/Food Safety', 'Business Management', 'Basic Electronics, Drafting', 'N/A'] ['Company Name', 'Company Name', 'Company Name', 'Company Name', 'Company Name', 'Company Name', 'Company Name', 'Company Name'] [None, None, None, None, None, None, None, None] ['02/2013', '05/2008', '05/2005', '04/2004', '01/1996', '04/1995', '08/1991', '02/1987'] ['08/2015', '02/2013', '05/2008', '05/2005', '04/2004', '12/1995', '04/1995', '04/1991'] [['PLC', 'SCADA', 'troubleshooting', 'mechanical repairs', 'design'], ['project management', 'PLC', 'troubleshooting', 'VFD', 'controls'], ['project management', 'design', 'budgeting', 'quality control'], ['management', 'construction', 'troubleshooting', 'automation'], ['plant maintenance', 'engineering', 'compliance', 'PLC', 'programming'], ['maintenance', 'PLC', 'troubleshooting', 'logic changes'], ['troubleshooting', 'maintenance', 'PLC', 'CMMS'], ['inventory control', 'troubleshooting', 'microwave communications']] ['Engineering Services Manager', 'Electrical Superintendent', 'Project Manager', 'Facility Supervisor', 'Maintenance Manager/Safety & Environmental Manager', 'Maintenance Technician', 'Electrician', 'Microwave Communications Technician'] ['City , State', 'City , State', 'City , State', 'City , State', 'City , State', 'City , State', 'City , State', 'City , State'] nan nan nan nan nan nan nan nan nan nan nan"
189,,,"['accounting', 'Accounting Systems', 'ad', 'analytical skills', 'auditing', 'automation', 'billing', 'budgeting', 'budgets', 'Budget', 'business operations', 'business process', 'Cash-Flow', 'cash flow', 'closing', 'contracts', 'CPA', 'Crystal Reports', 'Database Management', 'Essbase', 'senior management', 'financial', 'Financial Accounting', 'financial analysis', 'financial analysis/planning', 'Financial Reporting', 'financial statements', 'fixed assets', 'Forecasting', 'general ledger', 'Great Plains', 'Hyperion', 'inventory', 'ledger', 'law', 'market', 'MAS 90', 'Excel', 'MS Office', 'negotiation', 'Enterprise', 'Peachtree', 'personnel', 'policies', 'pricing', 'processes', 'quantitative analysis', 'QuickBooks', 'reconciling', 'relationship management', 'reporting', 'researching', 'Research', 'sales', 'SarbanesOxley', 'Strategic Planning', 'Tax Preparation', 'tax', 'taxes', 'Trend']",['University of Maryland University College'],['BS'],['2005'],[None],[None],['Accounting Business Administration'],"['Company Name', 'Company Name', 'Company Name']","[None, None, None]","['November 2011', 'September 2006', 'March 2006']","[None, 'October 2011', 'August 2006']","[['operating budgets', 'financial analysis/planning', 'financial statements and reporting', 'accounting policies', 'cash flow', 'taxes', 'auditing', 'business process improvements', 'financial accounting', 'budgeting', 'financial analysis', 'qualitative and quantitative analysis', 'relationship management', 'stakeholder communication', 'GAAP compliance'], ['financial data compilation', 'corporate financial statements', 'internal controls', 'budget preparation', 'forecast operational activities', 'general ledger maintenance', 'sub ledger accounts', 'financial journal entries', 'corporate closing schedules', 'fixed assets monitoring', 'depreciation schedules', 'tax compliance', 'audit process coordination', 'bank statement reconciliation'], ['monthly closing cycle', 'financial statement preparation', 'accounting-related communication', 'internal controls', 'financial statement entries', 'reconciling and documenting', 'sales report verification', 'inventory status reconciliation', 'escrow account analysis', 'direct profit analysis', ""builder's reserve reporting"", 'proceeds reconciliation', 'accounting procedures research']]","['Lead Accountant', 'Senior Accountant', 'Senior Accountant']","['City, State', 'City, State', 'City, State']",,,,,,,,,,,,"nan nan ['accounting', 'Accounting Systems', 'ad', 'analytical skills', 'auditing', 'automation', 'billing', 'budgeting', 'budgets', 'Budget', 'business operations', 'business process', 'Cash-Flow', 'cash flow', 'closing', 'contracts', 'CPA', 'Crystal Reports', 'Database Management', 'Essbase', 'senior management', 'financial', 'Financial Accounting', 'financial analysis', 'financial analysis/planning', 'Financial Reporting', 'financial statements', 'fixed assets', 'Forecasting', 'general ledger', 'Great Plains', 'Hyperion', 'inventory', 'ledger', 'law', 'market', 'MAS 90', 'Excel', 'MS Office', 'negotiation', 'Enterprise', 'Peachtree', 'personnel', 'policies', 'pricing', 'processes', 'quantitative analysis', 'QuickBooks', 'reconciling', 'relationship management', 'reporting', 'researching', 'Research', 'sales', 'SarbanesOxley', 'Strategic Planning', 'Tax Preparation', 'tax', 'taxes', 'Trend'] ['University of Maryland University College'] ['BS'] ['2005'] [None] [None] ['Accounting Business Administration'] ['Company Name', 'Company Name', 'Company Name'] [None, None, None] ['November 2011', 'September 2006', 'March 2006'] [None, 'October 2011', 'August 2006'] [['operating budgets', 'financial analysis/planning', 'financial statements and reporting', 'accounting policies', 'cash flow', 'taxes', 'auditing', 'business process improvements', 'financial accounting', 'budgeting', 'financial analysis', 'qualitative and quantitative analysis', 'relationship management', 'stakeholder communication', 'GAAP compliance'], ['financial data compilation', 'corporate financial statements', 'internal controls', 'budget preparation', 'forecast operational activities', 'general ledger maintenance', 'sub ledger accounts', 'financial journal entries', 'corporate closing schedules', 'fixed assets monitoring', 'depreciation schedules', 'tax compliance', 'audit process coordination', 'bank statement reconciliation'], ['monthly closing cycle', 'financial statement preparation', 'accounting-related communication', 'internal controls', 'financial statement entries', 'reconciling and documenting', 'sales report verification', 'inventory status reconciliation', 'escrow account analysis', 'direct profit analysis', ""builder's reserve reporting"", 'proceeds reconciliation', 'accounting procedures research']] ['Lead Accountant', 'Senior Accountant', 'Senior Accountant'] ['City, State', 'City, State', 'City, State'] nan nan nan nan nan nan nan nan nan nan nan"
190,,,"['Microsoft Office', 'Visio', 'Inventor', 'Lean Manufacturingâ€‹', 'Continuous Improvement', 'database', 'Ergonomics', 'estimating', 'manufacturing processes', 'mentor', 'new product development', 'processes', 'quality', 'safety', 'Six Sigma']","[None, None, None, None, None, None, None, 'Purdue University', 'Indiana Tech']","['Applied Industrial Ergonomics', 'Lean Certification (Parker Lean Boot Camp I, II, and III)', 'EPA Certification', 'AWS Brazing Certification', 'Six Sigma Academy Greenbelt Training', 'Duggan and Associates Value Stream Mapping', 'Mixed Model Value Stream Mapping', 'Poke-a-Yoke Certification', 'Skills']","['2014', '2014', '2013', '2011', '2007', '2004', '2006', '2003', 'N/A']","[None, None, None, None, None, None, None, None, None]","[None, None, None, None, None, None, None, None, None]","[None, None, None, None, None, None, None, None, 'Continuous Improvement, database, Ergonomics, estimating, manufacturing processes, mentor, new product development, processes, quality, safety, Six Sigma']","['Airmate Company', 'Company Name', 'Valve Value Stream Company Name', 'Valve Value Stream Company Name', 'Company Name']","[None, None, None, None, None]","['12/2015', '01/2009', '03/2005', '01/2003', '01/1997']","['08/2016', '12/2015', '01/2009', '01/2005', '01/2003']","[['Lean Manufacturing'], ['Lean Manufacturing'], ['Quality', 'Lean Manufacturing'], ['Process Improvement', 'Lean Manufacturing'], ['Safety', 'Lean Manufacturing']]","['Engineering Manager', 'Process Technician', 'Quality Engineer', 'Process Technician', 'Value Stream Group Leader']","['City, State', 'City, State', 'City, State', 'City, State', 'City, State']",,,,,,,,,,,,"nan nan ['Microsoft Office', 'Visio', 'Inventor', 'Lean Manufacturingâ€‹', 'Continuous Improvement', 'database', 'Ergonomics', 'estimating', 'manufacturing processes', 'mentor', 'new product development', 'processes', 'quality', 'safety', 'Six Sigma'] [None, None, None, None, None, None, None, 'Purdue University', 'Indiana Tech'] ['Applied Industrial Ergonomics', 'Lean Certification (Parker Lean Boot Camp I, II, and III)', 'EPA Certification', 'AWS Brazing Certification', 'Six Sigma Academy Greenbelt Training', 'Duggan and Associates Value Stream Mapping', 'Mixed Model Value Stream Mapping', 'Poke-a-Yoke Certification', 'Skills'] ['2014', '2014', '2013', '2011', '2007', '2004', '2006', '2003', 'N/A'] [None, None, None, None, None, None, None, None, None] [None, None, None, None, None, None, None, None, None] [None, None, None, None, None, None, None, None, 'Continuous Improvement, database, Ergonomics, estimating, manufacturing processes, mentor, new product development, processes, quality, safety, Six Sigma'] ['Airmate Company', 'Company Name', 'Valve Value Stream Company Name', 'Valve Value Stream Company Name', 'Company Name'] [None, None, None, None, None] ['12/2015', '01/2009', '03/2005', '01/2003', '01/1997'] ['08/2016', '12/2015', '01/2009', '01/2005', '01/2003'] [['Lean Manufacturing'], ['Lean Manufacturing'], ['Quality', 'Lean Manufacturing'], ['Process Improvement', 'Lean Manufacturing'], ['Safety', 'Lean Manufacturing']] ['Engineering Manager', 'Process Technician', 'Quality Engineer', 'Process Technician', 'Value Stream Group Leader'] ['City, State', 'City, State', 'City, State', 'City, State', 'City, State'] nan nan nan nan nan nan nan nan nan nan nan"
191,,Data analyst actively seeking job roles related to data science and machine learning.,"['Data Analysis', 'Data Mining', 'Data Modeling', 'Data Processing', 'Machine Learning', 'Natural Language Processing', 'Artificial Intelligence', 'Statistics', 'SQL', 'Tableau', 'PowerBI']",['Bhimrao Sen College'],['BCA'],['2018'],[None],[None],[None],['TUC'],[None],['Jan 2018'],['Nov 2020'],"[['SQL', 'Tableau', 'Power BI']]",['Data Analyst'],[None],['Other'],['IBM data Analytics'],[None],[None],,,,,,,,"nan Data analyst actively seeking job roles related to data science and machine learning. ['Data Analysis', 'Data Mining', 'Data Modeling', 'Data Processing', 'Machine Learning', 'Natural Language Processing', 'Artificial Intelligence', 'Statistics', 'SQL', 'Tableau', 'PowerBI'] ['Bhimrao Sen College'] ['BCA'] ['2018'] [None] [None] [None] ['TUC'] [None] ['Jan 2018'] ['Nov 2020'] [['SQL', 'Tableau', 'Power BI']] ['Data Analyst'] [None] ['Other'] ['IBM data Analytics'] [None] [None] nan nan nan nan nan nan nan"
192,,Associate software engineer specializing in Machine Learning models and Optimization. I work with both natural Language processing and computer vision in terms of Modelling and development.,"['Machine Learning', 'Software Developer', 'Software Engineering', 'ML Engineer', 'Model Building', 'Deep Learning', 'Numpy', 'Pandas', 'PySpark', 'Hadoop', 'Matplotlib', 'Keras', 'Tensorflow', 'TensorflowJS', 'AngularJS', 'Computer Vision', 'Natural Language Processing', 'HuggingFace', 'Data Wrangling', 'Scikit Learn', 'Algorithm Optimization']","['IIIT D&M Kancheepuram, Chennai']",['B.Tech'],['2019'],['N/A'],['N/A'],['Electronics/Telecommunication'],['Larsen & Toubro'],['N/A'],['Jul 2019'],['Till Date'],"[['Machine Learning', 'Computer Vision', 'Natural Language Processing']]",['Machine Learning Engineer'],['N/A'],,,,,,,,,,,,"nan Associate software engineer specializing in Machine Learning models and Optimization. I work with both natural Language processing and computer vision in terms of Modelling and development. ['Machine Learning', 'Software Developer', 'Software Engineering', 'ML Engineer', 'Model Building', 'Deep Learning', 'Numpy', 'Pandas', 'PySpark', 'Hadoop', 'Matplotlib', 'Keras', 'Tensorflow', 'TensorflowJS', 'AngularJS', 'Computer Vision', 'Natural Language Processing', 'HuggingFace', 'Data Wrangling', 'Scikit Learn', 'Algorithm Optimization'] ['IIIT D&M Kancheepuram, Chennai'] ['B.Tech'] ['2019'] ['N/A'] ['N/A'] ['Electronics/Telecommunication'] ['Larsen & Toubro'] ['N/A'] ['Jul 2019'] ['Till Date'] [['Machine Learning', 'Computer Vision', 'Natural Language Processing']] ['Machine Learning Engineer'] ['N/A'] nan nan nan nan nan nan nan nan nan nan nan"
